t;x;y;v
0.000;0.004985;0.279;0
0.033;0.004985;0.279;0.07874
0.067;0.009970;0.277;0.151
0.100;0.01495;0.277;0.190
0.133;0.02160;0.273;0.260
0.167;0.03157;0.273;0.308
0.200;0.04154;0.268;0.357
0.234;0.05317;0.263;0.394
0.267;0.06647;0.259;0.472
0.300;0.08308;0.253;0.583
0.334;0.103;0.246;0.701
0.367;0.128;0.239;0.764
0.400;0.151;0.229;0.805
0.434;0.178;0.219;0.948
0.467;0.209;0.204;1.014
0.500;0.239;0.191;1.092
0.534;0.276;0.174;1.193
0.567;0.312;0.160;1.272
0.601;0.354;0.141;1.394
0.634;0.400;0.130;1.412
0.667;0.447;0.126;1.421
0.701;0.495;0.125;1.420
0.734;0.542;0.130;1.339
0.767;0.583;0.140;1.256
0.801;0.623;0.150;1.305
0.834;0.668;0.160;1.335
0.868;0.710;0.171;1.208
0.901;0.746;0.179;1.089
0.934;0.781;0.184;1.075
0.968;0.818;0.186;1.103
1.001;0.854;0.193;1.096
1.034;0.891;0.186;1.028
1.068;0.922;0.184;1.130
1.101;0.965;0.176;1.228
1.134;1.000;0.160;1.292
1.168;1.044;0.140;1.305
1.201;1.080;0.125;1.481
1.235;1.137;0.106;1.601
1.268;1.183;0.09638;1.526
1.301;1.238;0.09638;1.545
1.335;1.286;0.09970;1.569
1.368;1.343;0.09970;
